year_month,monthly_count,monthly_avg_mag,monthly_max_mag,date,count_lag_1,avg_mag_lag_1,max_mag_lag_1,count_lag_3,avg_mag_lag_3,max_mag_lag_3,count_lag_6,avg_mag_lag_6,max_mag_lag_6,count_roll_3,avg_mag_roll_3,max_mag_roll_3,count_roll_6,avg_mag_roll_6,max_mag_roll_6,month,month_sin,month_cos,next_month_count,next_month_max_mag
1972-10,1,5.2,5.2,1972-10-01,1.0,5.15,5.15,9.0,5.402222222222223,5.96,2.0,5.71,6.3,1.0,5.173333333333333,5.173333333333333,2.8333333333333335,5.299537037037037,5.484999999999999,10,-0.8660254037844386,0.5000000000000001,1.0,4.7
1973-04,1,4.7,4.7,1973-04-01,1.0,5.2,5.2,1.0,5.17,5.17,1.0,5.19,5.19,1.0,5.016666666666667,5.016666666666667,2.8333333333333335,5.217870370370371,5.403333333333333,4,0.8660254037844387,-0.4999999999999998,1.0,4.7
1973-09,1,4.7,4.7,1973-09-01,1.0,4.7,4.7,1.0,5.15,5.15,4.0,5.6850000000000005,6.24,1.0,4.866666666666667,4.866666666666666,2.3333333333333335,5.053703703703704,5.146666666666667,9,-1.0,-1.8369701987210297e-16,1.0,4.6
1973-10,1,4.6,4.6,1973-10-01,1.0,4.7,4.7,1.0,5.2,5.2,9.0,5.402222222222223,5.96,1.0,4.666666666666667,4.666666666666667,1.0,4.920000000000001,4.92,10,-0.8660254037844386,0.5000000000000001,1.0,5.5
1974-01,1,5.5,5.5,1974-01-01,1.0,4.6,4.6,1.0,4.7,4.7,1.0,5.17,5.17,1.0,4.933333333333334,4.933333333333334,1.0,4.9750000000000005,4.9750000000000005,1,0.49999999999999994,0.8660254037844387,1.0,4.3
1974-03,1,4.3,4.3,1974-03-01,1.0,5.5,5.5,1.0,4.7,4.7,1.0,5.15,5.15,1.0,4.8,4.8,1.0,4.833333333333333,4.833333333333333,3,1.0,6.123233995736766e-17,1.0,5.0
1974-07,1,5.0,5.0,1974-07-01,1.0,4.3,4.3,1.0,4.6,4.6,1.0,5.2,5.2,1.0,4.933333333333334,4.933333333333334,1.0,4.8,4.8,7,-0.4999999999999997,-0.8660254037844388,1.0,5.2
1975-02,1,5.2,5.2,1975-02-01,1.0,5.0,5.0,1.0,5.5,5.5,1.0,4.7,4.7,1.0,4.833333333333333,4.833333333333333,1.0,4.883333333333334,4.883333333333334,2,0.8660254037844386,0.5000000000000001,1.0,4.7
1975-11,1,4.7,4.7,1975-11-01,1.0,5.2,5.2,1.0,4.3,4.3,1.0,4.7,4.7,1.0,4.966666666666667,4.966666666666666,1.0,4.883333333333334,4.883333333333334,11,-0.5000000000000004,0.8660254037844384,1.0,5.2
1976-08,1,5.2,5.2,1976-08-01,1.0,4.7,4.7,1.0,5.0,5.0,1.0,4.6,4.6,1.0,5.033333333333334,5.033333333333333,1.0,4.983333333333333,4.983333333333333,8,-0.8660254037844384,-0.5000000000000004,1.0,4.9
1976-12,1,4.9,4.9,1976-12-01,1.0,5.2,5.2,1.0,5.2,5.2,1.0,5.5,5.5,1.0,4.933333333333334,4.933333333333334,1.0,4.883333333333334,4.883333333333334,12,-2.4492935982947064e-16,1.0,9.0,7.1
1978-03,9,5.066666666666666,7.1,1978-03-01,1.0,4.9,4.9,1.0,4.7,4.7,1.0,4.3,4.3,3.6666666666666665,5.055555555555556,5.733333333333334,2.3333333333333335,5.011111111111111,5.3500000000000005,3,1.0,6.123233995736766e-17,3.0,5.1
1978-04,3,4.8999999999999995,5.1,1978-04-01,9.0,5.066666666666666,7.1,1.0,5.2,5.2,1.0,5.0,5.0,4.333333333333333,4.955555555555556,5.7,2.6666666666666665,4.9944444444444445,5.366666666666667,4,0.8660254037844387,-0.4999999999999998,2.0,4.6
1978-05,2,4.25,4.6,1978-05-01,3.0,4.8999999999999995,5.1,1.0,4.9,4.9,1.0,5.2,5.2,4.666666666666667,4.738888888888888,5.599999999999999,2.8333333333333335,4.836111111111111,5.266666666666667,5,0.49999999999999994,-0.8660254037844387,2.0,5.0
1978-06,2,4.8,5.0,1978-06-01,2.0,4.25,4.6,9.0,5.066666666666666,7.1,1.0,4.7,4.7,2.3333333333333335,4.6499999999999995,4.8999999999999995,3.0,4.852777777777778,5.316666666666666,6,1.2246467991473532e-16,-1.0,1.0,5.2
1979-04,1,5.2,5.2,1979-04-01,2.0,4.8,5.0,3.0,4.8999999999999995,5.1,1.0,5.2,5.2,1.6666666666666667,4.75,4.933333333333334,3.0,4.852777777777778,5.316666666666666,4,0.8660254037844387,-0.4999999999999998,2.0,4.8
1979-05,2,4.75,4.8,1979-05-01,1.0,5.2,5.2,2.0,4.25,4.6,1.0,4.9,4.9,1.6666666666666667,4.916666666666667,5.0,3.1666666666666665,4.8277777777777775,5.3,5,0.49999999999999994,-0.8660254037844387,1.0,4.5
1979-07,1,4.5,4.5,1979-07-01,2.0,4.75,4.8,2.0,4.8,5.0,9.0,5.066666666666666,7.1,1.3333333333333333,4.816666666666666,4.833333333333333,1.8333333333333333,4.733333333333333,4.866666666666666,7,-0.4999999999999997,-0.8660254037844388,2.0,5.9
1979-09,2,5.15,5.9,1979-09-01,1.0,4.5,4.5,1.0,5.2,5.2,3.0,4.8999999999999995,5.1,1.6666666666666667,4.8,5.066666666666667,1.6666666666666667,4.7749999999999995,5.0,9,-1.0,-1.8369701987210297e-16,1.0,4.6
1980-03,1,4.6,4.6,1980-03-01,2.0,5.15,5.9,2.0,4.75,4.8,2.0,4.25,4.6,1.3333333333333333,4.75,5.0,1.5,4.833333333333333,5.0,3,1.0,6.123233995736766e-17,1.0,5.4
