time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_almaty,year,month,day,day_of_year,week_of_year,source,Unnamed: 0
1970-06-05 04:53:08.070000+00:00,42.51,78.691,15.0,6.3,mw,,,,,iscgem,iscgem794309,2022-04-26T21:37:21.069Z,"13 km E of Ak-Suu, Kyrgyzstan",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem,162.39439276301832,1970,6,5,156,23,recent,
1970-06-12 15:59:59.940000+00:00,40.791,78.338,10.0,5.12,mw,,,,,iscgem,iscgem794541,2022-04-26T21:37:50.745Z,"152 km W of Aykol, China",earthquake,,17.2,0.2,,reviewed,iscgem,iscgem,283.9954265135197,1970,6,12,163,24,recent,
1970-10-17 05:33:14.510000+00:00,41.414,79.295,15.0,5.19,mw,,,,,iscgem,iscgem791189,2022-04-26T21:30:37.212Z,"86 km WNW of Aksu, China",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem,273.7966880680614,1970,10,17,290,42,recent,
1971-03-23 09:52:11.760000+00:00,41.52,79.325,15.0,6.24,mw,,,,,iscgem,iscgem786548,2022-04-26T21:21:08.294Z,"88 km WNW of Aksu, China",earthquake,,3.8,0.41,,reviewed,iscgem,iscgem,267.59666598680474,1971,3,23,82,12,recent,
1971-03-23 20:47:17.730000+00:00,41.419,79.243,15.0,5.8,mw,,,,,iscgem,iscgem786560,2022-04-26T21:21:13.282Z,"90 km WNW of Aksu, China",earthquake,,3.5,0.2,,reviewed,iscgem,iscgem,270.3040323338523,1971,3,23,82,12,recent,
1971-03-24 20:54:29.980000+00:00,41.512,79.354,11.3,5.3,mw,,,,,iscgem,iscgem786589,2022-04-26T21:21:26.519Z,"85 km WNW of Aksu, China",earthquake,,3.8,0.2,,reviewed,iscgem,iscgem,269.990177718219,1971,3,24,83,12,recent,
1971-03-24 21:01:54.760000+00:00,41.452,79.504,11.5,5.4,mw,,,,,iscgem,iscgem786590,2022-04-26T21:21:28.238Z,"71 km WNW of Aksu, China",earthquake,,3.6,0.22,,reviewed,iscgem,iscgem,283.7763544723607,1971,3,24,83,12,recent,
1971-06-15 07:39:36.100000+00:00,41.463,79.447,12.5,5.67,mw,,,,,iscgem,iscgem783466,2022-04-26T21:14:04.644Z,"76 km WNW of Aksu, China",earthquake,,3.6,0.24,,reviewed,iscgem,iscgem,279.4006444299877,1971,6,15,166,24,recent,
1971-06-15 22:04:12.750000+00:00,41.546,79.408,11.9,5.96,mw,,,,,iscgem,iscgem783484,2022-04-26T21:14:05.775Z,"83 km WNW of Aksu, China",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem,270.89481270390274,1971,6,15,166,24,recent,
1971-06-15 22:15:48.240000+00:00,41.421,79.469,10.0,5.4,mw,,,,,iscgem,iscgem783486,2022-04-26T21:14:06.907Z,"72 km WNW of Aksu, China",earthquake,,3.7,0.26,,reviewed,iscgem,iscgem,283.8785177737871,1971,6,15,166,24,recent,
1971-06-15 23:17:31.160000+00:00,41.361,79.392,12.4,5.28,mw,,,,,iscgem,iscgem783490,2022-04-26T21:14:09.319Z,"76 km NW of Aykol, China",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem,283.7137308747893,1971,6,15,166,24,recent,
1971-06-16 00:58:37.660000+00:00,41.535,79.307,18.6,5.3,mw,,,,,iscgem,iscgem783495,2022-04-26T21:14:10.503Z,"90 km WNW of Aksu, China",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem,265.3678241786639,1971,6,16,167,24,recent,
1971-06-16 10:56:37.900000+00:00,41.469,79.275,12.0,5.15,mw,,,,,iscgem,iscgem783512,2022-04-26T21:14:11.705Z,"89 km WNW of Aksu, China",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem,268.36795933879336,1971,6,16,167,24,recent,
1971-06-16 13:46:50.340000+00:00,41.45,79.406,17.2,5.29,mw,,,,,iscgem,iscgem783515,2022-04-26T21:14:12.822Z,"78 km WNW of Aksu, China",earthquake,,11.4,0.27,,reviewed,iscgem,iscgem,277.8194487622274,1971,6,16,167,24,recent,
1971-06-17 15:20:11.690000+00:00,41.425,79.426,12.1,5.15,mw,,,,,iscgem,iscgem783540,2022-04-26T21:14:15.211Z,"76 km WNW of Aksu, China",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem,280.9230668034295,1971,6,17,168,24,recent,
1971-06-19 17:23:02.180000+00:00,41.496,79.279,15.4,5.42,mw,,,,,iscgem,iscgem783606,2022-04-26T21:14:21.906Z,"90 km WNW of Aksu, China",earthquake,,11.4,0.22,,reviewed,iscgem,iscgem,266.56168745994034,1971,6,19,170,24,recent,
1971-07-03 04:26:23.790000+00:00,41.456,79.23,11.1,5.17,mw,,,,,iscgem,iscgem781864,2022-04-26T21:09:36.262Z,"92 km WNW of Aksu, China",earthquake,,6.9,0.22,,reviewed,iscgem,iscgem,266.6549561484054,1971,7,3,184,26,recent,
1971-12-12 13:41:37.370000+00:00,41.353,79.221,10.0,5.15,mw,,,,,iscgem,iscgem777696,2022-04-26T20:59:12.566Z,"88 km WNW of Aykol, China",earthquake,,6.9,0.2,,reviewed,iscgem,iscgem,274.21981422733086,1971,12,12,346,49,recent,
1972-10-27 12:00:36.800000+00:00,42.682,75.379,10.0,5.2,mw,,,,,iscgem,iscgem768737,2022-04-26T20:39:09.897Z,"18 km SSE of Tokmok, Kyrgyzstan",earthquake,,4.6,0.28,,reviewed,iscgem,iscgem,130.05385390363733,1972,10,27,301,43,recent,
1973-04-14 19:49:45.700000+00:00,41.77,77.545,47.0,4.7,mb,,,,,us,usp00001dh,2014-11-06T23:21:11.420Z,"51 km SE of Kadzhi-Say, Kyrgyzstan",earthquake,,,,,reviewed,us,us,157.92193572952232,1973,4,14,104,15,recent,
1973-09-01 12:32:35.400000+00:00,42.636,75.194,33.0,4.7,mb,,,,,us,usp00003a4,2014-11-06T23:21:19.715Z,"24 km SSW of Tokmok, Kyrgyzstan",earthquake,,,,,reviewed,us,us,146.00581342520954,1973,9,1,244,35,recent,
1973-10-24 04:51:33+00:00,41.536,79.455,33.0,4.6,mb,,,,,us,usp00003x2,2014-11-06T23:21:20.997Z,"79 km WNW of Aksu, China",earthquake,,,,,reviewed,us,us,274.596832094349,1973,10,24,297,43,recent,
1974-01-04 09:27:55.700000+00:00,40.606,77.645,26.0,5.5,mb,,,,,us,usp00004t7,2022-04-27T18:30:24.893Z,"166 km SE of Naryn, Kyrgyzstan",earthquake,,,,,reviewed,us,us,284.64794178399995,1974,1,4,4,1,recent,
1974-03-04 14:03:48.400000+00:00,42.605,80.151,33.0,4.3,mb,,,,,us,usp00005gn,2014-11-06T23:21:23.219Z,"89 km ESE of Kegen, Kazakhstan",earthquake,,,,,reviewed,us,us,273.04521274318375,1974,3,4,63,10,recent,
1974-07-02 16:41:05.800000+00:00,42.165,75.561,33.0,5.0,mb,,,,,us,usp00006zf,2022-04-27T18:14:24.076Z,"61 km WSW of Balykchy, Kyrgyzstan",earthquake,,,,,reviewed,us,us,149.24975982213988,1974,7,2,183,27,recent,
1975-02-12 13:34:55+00:00,43.025,78.916,33.0,5.2,mb,,,,,us,usp00009wr,2022-04-27T17:53:22.485Z,"24 km W of Kegen, Kazakhstan",earthquake,,,,,reviewed,us,us,166.42206744889035,1975,2,12,43,7,recent,
1975-11-30 22:38:06.700000+00:00,42.715,79.435,35.0,4.7,mb,,,,,us,usp0000dt4,2014-11-06T23:21:32.855Z,"38 km SSE of Kegen, Kazakhstan",earthquake,,,,,reviewed,us,us,213.2387897309024,1975,11,30,334,48,recent,
1976-08-03 07:50:19.800000+00:00,40.797,77.876,33.0,5.2,ms,,,,,us,usp0000hpz,2022-04-27T16:54:39.728Z,"160 km SSE of Kadzhi-Say, Kyrgyzstan",earthquake,,,,,reviewed,us,us,269.25158428166174,1976,8,3,216,32,recent,
