time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_almaty,year,month,day,day_of_year,week_of_year,source
2024-01-30 03:52:36.555000+00:00,41.1489,78.6653,10.0,4.1,mb,22.0,114.0,1.365,0.67,us,us7000luwf,2024-01-30T04:11:41.040Z,"125 km W of Aykol, China",earthquake,6.78,1.967,0.166,10.0,reviewed,us,us,262.6454811430383,2024,1,30,30,5,recent
2024-01-29 23:30:55.212000+00:00,41.2996,78.6023,10.0,4.1,mb,29.0,113.0,1.209,0.98,us,us7000luvf,2024-01-30T00:45:18.040Z,"125 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,5.51,1.959,0.157,11.0,reviewed,us,us,245.83315592430088,2024,1,29,29,5,recent
2024-01-29 23:17:08.534000+00:00,41.1976,78.7054,15.759,4.4,mb,44.0,103.0,1.321,0.53,us,us7000luvc,2024-01-30T01:55:40.040Z,"123 km WNW of Aykol, China",earthquake,6.14,5.277,0.089,36.0,reviewed,us,us,260.06712589957925,2024,1,29,29,5,recent
2024-01-29 22:27:41.998000+00:00,41.1867,78.7155,10.0,5.7,mww,89.0,35.0,1.333,0.88,us,us7000luuy,2024-01-30T17:02:34.930Z,"122 km WNW of Aykol, China",earthquake,7.07,1.844,0.089,12.0,reviewed,us,us,261.5446981440805,2024,1,29,29,5,recent
2024-01-29 21:03:22.824000+00:00,41.1642,78.8169,10.0,4.3,mb,45.0,55.0,1.371,1.0,us,us7000luue,2024-01-29T22:55:18.237Z,"113 km WNW of Aykol, China",earthquake,6.27,1.926,0.101,28.0,reviewed,us,us,268.5113687024291,2024,1,29,29,5,recent
2024-01-28 09:52:18.219000+00:00,41.3586,78.4203,10.0,4.9,mb,19.0,111.0,0.592,1.46,us,us7000luie,2024-01-28T10:10:22.040Z,"114 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,3.37,1.948,0.186,9.0,reviewed,us,us,231.91125050425416,2024,1,28,28,4,recent
2024-01-27 09:03:05.366000+00:00,41.2906,78.6327,11.398,5.0,mb,87.0,55.0,0.761,1.08,us,us7000lubs,2024-01-28T02:25:09.132Z,"127 km SSE of Kyzyl-Suu, Kyrgyzstan",earthquake,4.26,4.222,0.042,178.0,reviewed,us,us,248.1113954886096,2024,1,27,27,4,recent
2024-01-27 00:37:22.118000+00:00,41.1402,78.5103,10.0,4.2,mb,26.0,127.0,0.537,0.81,us,us7000lu8z,2024-01-30T00:53:08.040Z,"138 km W of Aykol, China",earthquake,3.17,1.701,0.186,8.0,reviewed,us,us,256.48635936245273,2024,1,27,27,4,recent
2024-01-26 12:05:37.328000+00:00,41.2833,78.8703,10.0,4.3,mb,24.0,114.0,0.916,0.41,us,us7000lu0i,2024-01-26T12:28:23.040Z,"112 km WNW of Aykol, China",earthquake,3.49,1.924,0.142,14.0,reviewed,us,us,260.68192242286784,2024,1,26,26,4,recent
2024-01-26 11:40:45.074000+00:00,41.2582,78.8046,10.0,4.6,mb,55.0,71.0,0.316,0.7,us,us7000lu0c,2024-01-26T12:17:55.040Z,"116 km WNW of Aykol, China",earthquake,3.32,1.834,0.069,63.0,reviewed,us,us,259.5117636149956,2024,1,26,26,4,recent
2024-01-26 10:16:48.659000+00:00,41.3127,78.8266,10.0,4.5,mb,58.0,94.0,0.315,0.58,us,us7000ltxx,2024-01-26T13:30:19.040Z,"116 km WNW of Aykol, China",earthquake,3.93,1.87,0.076,50.0,reviewed,us,us,255.85141961133976,2024,1,26,26,4,recent
2024-01-26 02:26:07.223000+00:00,41.3424,78.9042,10.0,4.1,mb,22.0,91.0,0.275,1.16,us,us7000ltvv,2024-01-26T03:22:02.040Z,"111 km WNW of Aykol, China",earthquake,4.43,1.943,0.184,10.0,reviewed,us,us,257.3818146628859,2024,1,26,26,4,recent
2024-01-26 01:55:15.116000+00:00,41.264,78.6771,10.0,4.7,mb,42.0,114.0,1.252,0.9,us,us7000ltvj,2024-01-26T02:27:19.040Z,"127 km WNW of Aykol, China",earthquake,6.57,1.886,0.057,93.0,reviewed,us,us,252.67093018736935,2024,1,26,26,4,recent
2024-01-26 01:14:34.477000+00:00,41.243,78.7775,10.0,4.4,mb,36.0,114.0,0.334,0.92,us,us7000ltva,2024-01-26T01:48:54.040Z,"118 km WNW of Aykol, China",earthquake,4.42,1.939,0.12,20.0,reviewed,us,us,259.50070230000824,2024,1,26,26,4,recent
2024-01-26 00:17:32.065000+00:00,41.2335,78.72,4.542,4.4,mb,36.0,114.0,0.376,0.61,us,us7000ltv3,2024-01-28T06:30:11.040Z,"122 km WNW of Aykol, China",earthquake,5.82,1.989,0.12,20.0,reviewed,us,us,257.51622559043966,2024,1,26,26,4,recent
2024-01-25 22:38:10.197000+00:00,41.1973,78.6149,10.0,4.4,mwr,52.0,111.0,0.454,0.59,us,us7000ltum,2024-01-29T23:21:45.040Z,"130 km WNW of Aykol, China",earthquake,3.43,1.808,0.068,21.0,reviewed,us,us,255.82772216006288,2024,1,25,25,4,recent
